,room_id,host_id,total_score
128,994138,5460465,37.886
129,3749523,3842205,37.764
130,1013978,5578043,37.642
131,6089865,3637081,37.13
132,2515870,12878584,37.008
133,6006121,23208278,36.63
134,1112193,6103425,36.63
135,3021446,113091,36.63
136,176006,841314,36.63
137,2846739,85770,36.508
138,3721095,10477638,36.373999999999995
139,2881388,9410008,36.373999999999995
140,526970,85770,36.251999999999995
141,1885825,6391436,35.995999999999995
142,4586590,21890476,35.995999999999995
143,1692573,8814724,35.617999999999995
144,3392423,3462813,35.617999999999995
145,3432321,17288874,35.495999999999995
146,4793787,24658662,35.24
147,3166256,16059043,35.24
148,2135075,3594203,35.117999999999995
149,4924910,24997738,35.117999999999995
150,1935042,10013311,34.74
151,2764624,6103425,34.74
152,179244,119019,34.74
153,6142396,31862615,34.484
154,3727560,19036819,34.362
155,1167221,6391436,34.362
156,69369,255183,34.106
157,750438,3945438,33.728
158,4909590,25279966,33.728
159,1332786,6608084,33.728
160,7124590,825370,33.606
161,315982,119019,33.606
162,2798787,13372537,33.35
163,716245,3690995,33.228
164,6134867,20582119,33.228
165,4015972,14303759,32.972
166,44205,128280,32.972
167,728238,2139546,32.85
168,7693354,28184994,32.472
169,4293597,9189449,32.472
170,2277821,9410008,32.216
171,2022303,10393465,32.216
172,7003280,36057933,32.094
173,1529321,8139434,32.094
174,2947662,9402135,31.838
175,4151979,21541399,31.838
176,3946215,20447366,31.838
177,6933545,15472064,31.716
178,5025015,25932315,31.594
179,3897995,8139434,31.46
180,7713728,34916087,31.46
181,1048397,2543390,31.46
182,1322461,7178644,31.082
183,225979,1176995,31.082
184,3945704,20447366,31.082
185,2021274,1417977,30.96
186,6554785,28123912,30.704
187,1956275,9622924,30.582
188,2278704,11631886,30.582
189,6181758,31804748,30.204
190,6924700,20582119,30.204
191,2843596,3351569,29.948
192,6347026,19032128,29.948
193,1178371,6430732,29.948
194,1525494,8139434,29.826
195,4863101,8157833,29.826
196,7281884,25742899,29.57
197,5889190,4144048,29.57
198,7692933,9508341,29.57
199,4863108,8157833,29.448
200,3890373,19357187,29.192
201,1179399,6430732,29.192
202,3432438,17298276,29.07
203,2441095,3594203,28.948
204,6240901,32373289,28.948
205,7881551,1639654,28.814
206,4080000,6331373,28.692
207,1471373,7673571,28.57
208,4369766,6846812,28.436
209,5734770,27015747,28.436
210,3240187,8011471,28.436
211,2843445,3164508,28.436
212,3897963,8139434,28.436
213,1252289,1462158,28.436
214,4922204,6570877,28.314
215,3410087,17194624,28.314
216,6954861,36453929,28.058
217,6552654,20582119,28.058
218,5672200,23412310,28.058
219,8036024,42431392,28.058
220,658029,1444340,27.936
221,4196643,3594203,27.936
